"X","Group","Corr"
210,"Group 1",0.01
180,"Group 1",0.01
225,"Group 1",0.01
194,"Group 1",0.01
196,"Group 1",0.01
228,"Group 1",0.01
210,"Group 1",0.01
185,"Group 1",0.01
222,"Group 1",0.01
225,"Group 1",0.01
178,"Group 1",0.01
197,"Group 1",0.01
194,"Group 1",0.01
190,"Group 1",0.01
219,"Group 1",0.01
194,"Group 1",0.01
184,"Group 1",0.01
194,"Group 1",0.01
203,"Group 1",0.01
197,"Group 1",0.01
200,"Group 1",0.01
229,"Group 1",0.01
195,"Group 1",0.01
194,"Group 1",0.01
184,"Group 1",0.01
190,"Group 1",0.01
188,"Group 1",0.01
202,"Group 1",0.01
190,"Group 1",0.01
189,"Group 1",0.01
190,"Group 1",0.01
192,"Group 1",0.01
220,"Group 1",0.01
198,"Group 1",0.01
190,"Group 1",0.01
222,"Group 1",0.01
190,"Group 1",0.01
191,"Group 1",0.01
210,"Group 1",0.01
220,"Group 1",0.01
208,"Group 1",0.01
191,"Group 1",0.01
210,"Group 1",0.01
230,"Group 1",0.01
197,"Group 1",0.01
199,"Group 1",0.01
222,"Group 1",0.01
192,"Group 1",0.01
217,"Group 1",0.01
203,"Group 1",0.01
197,"Group 1",0.01
230,"Group 1",0.01
200,"Group 1",0.01
202,"Group 1",0.01
201,"Group 1",0.01
198,"Group 1",0.01
230,"Group 1",0.01
216,"Group 1",0.01
208,"Group 1",0.01
222,"Group 1",0.01
193,"Group 1",0.01
224,"Group 1",0.01
220,"Group 1",0.01
208,"Group 1",0.01
195,"Group 1",0.01
218,"Group 1",0.01
228,"Group 1",0.01
202,"Group 1",0.01
185,"Group 1",0.01
197,"Group 1",0.01
193,"Group 1",0.01
222,"Group 1",0.01
220,"Group 1",0.01
223,"Group 1",0.01
191,"Group 1",0.01
199,"Group 1",0.01
198,"Group 1",0.01
222,"Group 1",0.01
197,"Group 1",0.01
215,"Group 1",0.01
207,"Group 1",0.01
184,"Group 1",0.01
218,"Group 1",0.01
221,"Group 1",0.01
218,"Group 1",0.01
225,"Group 1",0.01
195,"Group 1",0.01
201,"Group 1",0.01
228,"Group 1",0.01
207,"Group 1",0.01
210,"Group 1",0.01
223,"Group 1",0.01
200.364119126582,"Group 1",0.01
192,"Group 1",0.01
228,"Group 1",0.01
215,"Group 1",0.01
230,"Group 1",0.01
190,"Group 1",0.01
220,"Group 1",0.01
222,"Group 1",0.01
192.941039470123,"Group 1",0.01
190,"Group 1",0.01
193,"Group 1",0.01
201,"Group 1",0.01
190,"Group 1",0.01
224,"Group 1",0.01
193,"Group 1",0.01
201,"Group 1",0.01
184,"Group 1",0.01
180,"Group 1",0.01
197,"Group 1",0.01
203,"Group 1",0.01
191,"Group 1",0.01
192,"Group 1",0.01
220,"Group 1",0.01
220,"Group 1",0.01
225,"Group 1",0.01
228,"Group 1",0.01
191,"Group 1",0.01
196,"Group 1",0.01
228,"Group 1",0.01
210,"Group 1",0.01
198,"Group 1",0.01
215,"Group 1",0.01
228,"Group 1",0.01
200,"Group 1",0.01
222,"Group 1",0.01
208,"Group 1",0.01
197,"Group 1",0.01
178,"Group 1",0.01
221,"Group 1",0.01
201,"Group 1",0.01
215,"Group 1",0.01
220,"Group 1",0.01
223,"Group 1",0.01
195,"Group 1",0.01
225,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
216,"Group 1",0.01
190,"Group 1",0.01
220,"Group 1",0.01
231,"Group 1",0.01
191,"Group 1",0.01
191,"Group 1",0.01
210,"Group 1",0.01
210,"Group 1",0.01
228,"Group 1",0.01
225,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
220,"Group 1",0.01
190,"Group 1",0.01
193,"Group 1",0.01
220,"Group 1",0.01
221,"Group 1",0.01
184,"Group 1",0.01
203,"Group 1",0.01
194,"Group 1",0.01
178,"Group 1",0.01
195,"Group 1",0.01
191,"Group 1",0.01
197,"Group 1",0.01
228,"Group 1",0.01
198,"Group 1",0.01
222,"Group 1",0.01
203,"Group 1",0.01
215,"Group 1",0.01
197,"Group 1",0.01
193,"Group 1",0.01
190,"Group 1",0.01
210,"Group 1",0.01
196,"Group 1",0.01
208,"Group 1",0.01
184,"Group 1",0.01
203,"Group 1",0.01
224,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
209,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
197,"Group 1",0.01
210,"Group 1",0.01
191,"Group 1",0.01
202,"Group 1",0.01
206,"Group 1",0.01
216,"Group 1",0.01
220,"Group 1",0.01
201,"Group 1",0.01
215,"Group 1",0.01
196,"Group 1",0.01
191,"Group 1",0.01
210,"Group 1",0.01
192,"Group 1",0.01
183,"Group 1",0.01
190,"Group 1",0.01
219,"Group 1",0.01
190,"Group 1",0.01
198,"Group 1",0.01
196,"Group 1",0.01
192,"Group 1",0.01
185,"Group 1",0.01
203,"Group 1",0.01
187,"Group 1",0.01
178,"Group 1",0.01
189,"Group 1",0.01
229,"Group 1",0.01
197,"Group 1",0.01
198,"Group 1",0.01
181,"Group 1",0.01
219,"Group 1",0.01
183,"Group 1",0.01
189,"Group 1",0.01
206,"Group 1",0.01
196,"Group 1",0.01
229,"Group 1",0.01
200,"Group 1",0.01
199,"Group 1",0.01
230,"Group 1",0.01
201,"Group 1",0.01
188,"Group 1",0.01
178,"Group 1",0.01
230,"Group 1",0.01
183,"Group 1",0.01
217,"Group 1",0.01
198,"Group 1",0.01
201.996148800569,"Group 1",0.01
218,"Group 1",0.01
215,"Group 1",0.01
222,"Group 1",0.01
210,"Group 1",0.01
220,"Group 1",0.01
195,"Group 1",0.01
190,"Group 1",0.01
191,"Group 1",0.01
220,"Group 1",0.01
197,"Group 1",0.01
200,"Group 1",0.01
201,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
198,"Group 1",0.01
208,"Group 1",0.01
192,"Group 1",0.01
209,"Group 1",0.01
194,"Group 1",0.01
202,"Group 1",0.01
221,"Group 1",0.01
193,"Group 1",0.01
220,"Group 1",0.01
197,"Group 1",0.01
230,"Group 1",0.01
188,"Group 1",0.01
201,"Group 1",0.01
223,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
193,"Group 1",0.01
197,"Group 1",0.01
221,"Group 1",0.01
190,"Group 1",0.01
198,"Group 1",0.01
215,"Group 1",0.01
191,"Group 1",0.01
190,"Group 1",0.01
184,"Group 1",0.01
192,"Group 1",0.01
230,"Group 1",0.01
190,"Group 1",0.01
224,"Group 1",0.01
197,"Group 1",0.01
184,"Group 1",0.01
222,"Group 1",0.01
229,"Group 1",0.01
185,"Group 1",0.01
222,"Group 1",0.01
212,"Group 1",0.01
198,"Group 1",0.01
221,"Group 1",0.01
207,"Group 1",0.01
190,"Group 1",0.01
229,"Group 1",0.01
190,"Group 1",0.01
183,"Group 1",0.01
190,"Group 1",0.01
209,"Group 1",0.01
191,"Group 1",0.01
196,"Group 1",0.01
205,"Group 1",0.01
224,"Group 1",0.01
220,"Group 1",0.01
230,"Group 1",0.01
229,"Group 1",0.01
228,"Group 1",0.01
193,"Group 1",0.01
219,"Group 1",0.01
220,"Group 1",0.01
190,"Group 1",0.01
197,"Group 1",0.01
187,"Group 1",0.01
184,"Group 1",0.01
205,"Group 1",0.01
205,"Group 1",0.01
213,"Group 1",0.01
231,"Group 1",0.01
197,"Group 1",0.01
195,"Group 1",0.01
220,"Group 1",0.01
196,"Group 1",0.01
187,"Group 1",0.01
207,"Group 1",0.01
221,"Group 1",0.01
193,"Group 1",0.01
199,"Group 1",0.01
205,"Group 1",0.01
224,"Group 1",0.01
194,"Group 1",0.01
194,"Group 1",0.01
224,"Group 1",0.01
198,"Group 1",0.01
229,"Group 1",0.01
218,"Group 1",0.01
192,"Group 1",0.01
210,"Group 1",0.01
228,"Group 1",0.01
208,"Group 1",0.01
210,"Group 1",0.01
221,"Group 1",0.01
196,"Group 1",0.01
185,"Group 1",0.01
228,"Group 1",0.01
187,"Group 1",0.01
195,"Group 1",0.01
196,"Group 1",0.01
200,"Group 1",0.01
208,"Group 1",0.01
222,"Group 1",0.01
215,"Group 1",0.01
197,"Group 1",0.01
184,"Group 1",0.01
225,"Group 1",0.01
222,"Group 1",0.01
197,"Group 1",0.01
197,"Group 1",0.01
219,"Group 1",0.01
203,"Group 1",0.01
218,"Group 1",0.01
197,"Group 1",0.01
197,"Group 1",0.01
191,"Group 1",0.01
229,"Group 1",0.01
196,"Group 1",0.01
219,"Group 1",0.01
187,"Group 1",0.01
229,"Group 1",0.01
186,"Group 1",0.01
223,"Group 1",0.01
195,"Group 1",0.01
210,"Group 1",0.01
222,"Group 1",0.01
185,"Group 1",0.01
228,"Group 1",0.01
219,"Group 1",0.01
215,"Group 1",0.01
188,"Group 1",0.01
189,"Group 1",0.01
230,"Group 1",0.01
230,"Group 1",0.01
200,"Group 1",0.01
203,"Group 1",0.01
224,"Group 1",0.01
224,"Group 1",0.01
193,"Group 1",0.01
200,"Group 1",0.01
230,"Group 1",0.01
197,"Group 1",0.01
216,"Group 1",0.01
200,"Group 1",0.01
201,"Group 1",0.01
192,"Group 1",0.01
220,"Group 1",0.01
197,"Group 1",0.01
195,"Group 1",0.01
230,"Group 1",0.01
203,"Group 1",0.01
199,"Group 1",0.01
194,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
189,"Group 1",0.01
184,"Group 1",0.01
196,"Group 1",0.01
198,"Group 1",0.01
222,"Group 1",0.01
190,"Group 1",0.01
223,"Group 1",0.01
224,"Group 1",0.01
221,"Group 1",0.01
228,"Group 1",0.01
197,"Group 1",0.01
221,"Group 1",0.01
205,"Group 1",0.01
213,"Group 1",0.01
225,"Group 1",0.01
197,"Group 1",0.01
229,"Group 1",0.01
190,"Group 1",0.01
215,"Group 1",0.01
188,"Group 1",0.01
215,"Group 1",0.01
178,"Group 1",0.01
228,"Group 1",0.01
186,"Group 1",0.01
196,"Group 1",0.01
229,"Group 1",0.01
221,"Group 1",0.01
228,"Group 1",0.01
201,"Group 1",0.01
230,"Group 1",0.01
188,"Group 1",0.01
190,"Group 1",0.01
228,"Group 1",0.01
198,"Group 1",0.01
230,"Group 1",0.01
205,"Group 1",0.01
203,"Group 1",0.01
225,"Group 1",0.01
215,"Group 1",0.01
194,"Group 1",0.01
182,"Group 1",0.01
215,"Group 1",0.01
198,"Group 1",0.01
222,"Group 1",0.01
185,"Group 1",0.01
191,"Group 1",0.01
193,"Group 1",0.01
225,"Group 1",0.01
190,"Group 1",0.01
222,"Group 1",0.01
221,"Group 1",0.01
180,"Group 1",0.01
201,"Group 1",0.01
215,"Group 1",0.01
192,"Group 1",0.01
220,"Group 1",0.01
220,"Group 1",0.01
196,"Group 1",0.01
201,"Group 1",0.01
193,"Group 1",0.01
190,"Group 1",0.01
192,"Group 1",0.01
192,"Group 1",0.01
198,"Group 1",0.01
230,"Group 1",0.01
203,"Group 1",0.01
230,"Group 1",0.01
205,"Group 1",0.01
205,"Group 1",0.01
193,"Group 1",0.01
181,"Group 1",0.01
209,"Group 1",0.01
220,"Group 1",0.01
196,"Group 1",0.01
195,"Group 1",0.01
220,"Group 1",0.01
200,"Group 1",0.01
194,"Group 1",0.01
230,"Group 1",0.01
188,"Group 1",0.01
199,"Group 1",0.01
230,"Group 1",0.01
194,"Group 1",0.01
186,"Group 1",0.01
201,"Group 1",0.01
193,"Group 1",0.01
201,"Group 1",0.01
219,"Group 1",0.01
209,"Group 1",0.01
200,"Group 1",0.01
199,"Group 1",0.01
193,"Group 1",0.01
208,"Group 1",0.01
194,"Group 1",0.01
194,"Group 1",0.01
215,"Group 1",0.01
188,"Group 1",0.01
194,"Group 1",0.01
190,"Group 1",0.01
197,"Group 1",0.01
197,"Group 1",0.01
191,"Group 1",0.01
223,"Group 1",0.01
190,"Group 1",0.01
194,"Group 1",0.01
191,"Group 1",0.01
196,"Group 1",0.01
216,"Group 1",0.01
190,"Group 1",0.01
181,"Group 1",0.01
229,"Group 1",0.01
202,"Group 1",0.01
201,"Group 1",0.01
223,"Group 1",0.01
219,"Group 1",0.01
215,"Group 1",0.01
215,"Group 1",0.01
187,"Group 1",0.01
202,"Group 1",0.01
206,"Group 1",0.01
196,"Group 1",0.01
187,"Group 1",0.01
189,"Group 1",0.01
209,"Group 1",0.01
197,"Group 1",0.01
218,"Group 1",0.01
197,"Group 1",0.01
210,"Group 1",0.01
184,"Group 1",0.01
216,"Group 1",0.01
215,"Group 1",0.01
193,"Group 1",0.01
215,"Group 1",0.01
213,"Group 1",0.01
197,"Group 1",0.01
196,"Group 1",0.01
197,"Group 1",0.01
191,"Group 1",0.01
191,"Group 1",0.01
196,"Group 1",0.01
220,"Group 1",0.01
193,"Group 1",0.01
197,"Group 1",0.01
205,"Group 1",0.01
194,"Group 1",0.01
224,"Group 1",0.01
184,"Group 1",0.01
193,"Group 1",0.01
178,"Group 1",0.01
209,"Group 1",0.01
185,"Group 1",0.01
194,"Group 1",0.01
203,"Group 1",0.01
221,"Group 1",0.01
192,"Group 1",0.01
223,"Group 1",0.01
196,"Group 1",0.01
222,"Group 1",0.01
230,"Group 1",0.01
203,"Group 1",0.01
190,"Group 1",0.01
205,"Group 1",0.01
189,"Group 1",0.01
197,"Group 1",0.01
210,"Group 1",0.01
224,"Group 1",0.01
201,"Group 1",0.01
203,"Group 1",0.01
182,"Group 1",0.01
216,"Group 1",0.01
197,"Group 1",0.01
229,"Group 1",0.01
196,"Group 1",0.01
193,"Group 1",0.01
199,"Group 1",0.01
230,"Group 1",0.01
197,"Group 1",0.01
188,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
195,"Group 1",0.01
215,"Group 1",0.01
196,"Group 1",0.01
223,"Group 1",0.01
195,"Group 1",0.01
222,"Group 1",0.01
196,"Group 1",0.01
213,"Group 1",0.01
219,"Group 1",0.01
199,"Group 1",0.01
225,"Group 1",0.01
186,"Group 1",0.01
181,"Group 1",0.01
210,"Group 1",0.01
190,"Group 1",0.01
222,"Group 1",0.01
199,"Group 1",0.01
221,"Group 1",0.01
221,"Group 1",0.01
200,"Group 1",0.01
219,"Group 1",0.01
222,"Group 1",0.01
195,"Group 1",0.01
222,"Group 1",0.01
210,"Group 1",0.01
191,"Group 1",0.01
190,"Group 1",0.01
223,"Group 1",0.01
222,"Group 1",0.01
220,"Group 1",0.01
230,"Group 1",0.01
191,"Group 1",0.01
196,"Group 1",0.01
215,"Group 1",0.01
230,"Group 1",0.01
192,"Group 1",0.01
190,"Group 1",0.01
221,"Group 1",0.01
224,"Group 1",0.01
222,"Group 1",0.01
198,"Group 1",0.01
194,"Group 1",0.01
184,"Group 1",0.01
205,"Group 1",0.01
216,"Group 1",0.01
183,"Group 1",0.01
190,"Group 1",0.01
210,"Group 1",0.01
192,"Group 1",0.01
220,"Group 1",0.01
215,"Group 1",0.01
229,"Group 1",0.01
184,"Group 1",0.01
188,"Group 1",0.01
222,"Group 1",0.01
190,"Group 1",0.01
193,"Group 1",0.01
197,"Group 1",0.01
225,"Group 1",0.01
199,"Group 1",0.01
191,"Group 1",0.01
180,"Group 1",0.01
225,"Group 1",0.01
224,"Group 1",0.01
216,"Group 1",0.01
205,"Group 1",0.01
196,"Group 1",0.01
196,"Group 1",0.01
191,"Group 1",0.01
194,"Group 1",0.01
196,"Group 1",0.01
197,"Group 1",0.01
215,"Group 1",0.01
217,"Group 1",0.01
210,"Group 1",0.01
201,"Group 1",0.01
221,"Group 1",0.01
220,"Group 1",0.01
210,"Group 1",0.01
193,"Group 1",0.01
198,"Group 1",0.01
191,"Group 1",0.01
190,"Group 1",0.01
220,"Group 1",0.01
186,"Group 1",0.01
220,"Group 1",0.01
222,"Group 1",0.01
217,"Group 1",0.01
196,"Group 1",0.01
181,"Group 1",0.01
223,"Group 1",0.01
225,"Group 1",0.01
222,"Group 1",0.01
189,"Group 1",0.01
209,"Group 1",0.01
197,"Group 1",0.01
197,"Group 1",0.01
219,"Group 1",0.01
200,"Group 1",0.01
201,"Group 1",0.01
200,"Group 1",0.01
197,"Group 1",0.01
230,"Group 1",0.01
224,"Group 1",0.01
190,"Group 1",0.01
216,"Group 1",0.01
203,"Group 1",0.01
203,"Group 1",0.01
224,"Group 1",0.01
195,"Group 1",0.01
191,"Group 1",0.01
197,"Group 1",0.01
229,"Group 1",0.01
195,"Group 1",0.01
202,"Group 1",0.01
210,"Group 1",0.01
199,"Group 1",0.01
195,"Group 1",0.01
198,"Group 1",0.01
183,"Group 1",0.01
201,"Group 1",0.01
178,"Group 1",0.01
190,"Group 1",0.01
199,"Group 1",0.01
196,"Group 1",0.01
192,"Group 1",0.01
218,"Group 1",0.01
180,"Group 1",0.01
197,"Group 1",0.01
216,"Group 1",0.01
194,"Group 1",0.01
200,"Group 1",0.01
190,"Group 1",0.01
219,"Group 1",0.01
229,"Group 1",0.01
222,"Group 1",0.01
195,"Group 1",0.01
194,"Group 1",0.01
195,"Group 1",0.01
215,"Group 1",0.01
196,"Group 1",0.01
222,"Group 1",0.01
195,"Group 1",0.01
198,"Group 1",0.01
205,"Group 1",0.01
197,"Group 1",0.01
225,"Group 1",0.01
194,"Group 1",0.01
191,"Group 1",0.01
195,"Group 1",0.01
230,"Group 1",0.01
185,"Group 1",0.01
219,"Group 1",0.01
205,"Group 1",0.01
178,"Group 1",0.01
183,"Group 1",0.01
206,"Group 1",0.01
200,"Group 1",0.01
208,"Group 1",0.01
196,"Group 1",0.01
210,"Group 1",0.01
202,"Group 1",0.01
221,"Group 1",0.01
210,"Group 1",0.01
215,"Group 1",0.01
221,"Group 1",0.01
223,"Group 1",0.01
192,"Group 1",0.01
218,"Group 1",0.01
191,"Group 1",0.01
208,"Group 1",0.01
231,"Group 1",0.01
180,"Group 1",0.01
225,"Group 1",0.01
228,"Group 1",0.01
228,"Group 1",0.01
203,"Group 1",0.01
201,"Group 1",0.01
197,"Group 1",0.01
180,"Group 1",0.01
188,"Group 1",0.01
194,"Group 1",0.01
221,"Group 1",0.01
218,"Group 1",0.01
189,"Group 1",0.01
190,"Group 1",0.01
222,"Group 1",0.01
230,"Group 1",0.01
195,"Group 1",0.01
203.539400438497,"Group 1",0.01
196,"Group 1",0.01
228,"Group 1",0.01
197,"Group 1",0.01
191,"Group 1",0.01
221,"Group 1",0.01
195,"Group 1",0.01
222,"Group 1",0.01
186,"Group 1",0.01
222,"Group 1",0.01
199,"Group 1",0.01
185,"Group 1",0.01
216,"Group 1",0.01
199,"Group 1",0.01
203,"Group 1",0.01
190,"Group 1",0.01
184,"Group 1",0.01
201,"Group 1",0.01
200,"Group 1",0.01
215,"Group 1",0.01
189,"Group 1",0.01
185,"Group 1",0.01
195,"Group 1",0.01
185,"Group 1",0.01
195,"Group 1",0.01
215,"Group 1",0.01
191,"Group 1",0.01
218,"Group 1",0.01
197,"Group 1",0.01
215,"Group 1",0.01
205,"Group 1",0.01
220,"Group 1",0.01
200,"Group 1",0.01
230,"Group 1",0.01
